processing,K,trainingSize,testingSize,ratio
normalization,3,0.8,0.2,0.91
normalization,4,0.8,0.2,0.91
normalization,5,0.8,0.2,0.92
normalization,6,0.8,0.2,0.93
normalization,7,0.8,0.2,0.93
normalization,8,0.8,0.2,0.93
normalization,9,0.8,0.2,0.92
normalization,10,0.8,0.2,0.89
normalization,11,0.8,0.2,0.90
normalization,12,0.8,0.2,0.91
normalization,3,0.1,0.9,0.89
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.89
normalization,6,0.1,0.9,0.88
normalization,7,0.1,0.9,0.89
normalization,8,0.1,0.9,0.86
normalization,9,0.1,0.9,0.89
normalization,10,0.1,0.9,0.86
normalization,11,0.1,0.9,0.88
normalization,12,0.1,0.9,0.87
normalization,3,0.1,0.9,0.88
normalization,4,0.1,0.9,0.87
normalization,5,0.1,0.9,0.85
normalization,6,0.1,0.9,0.88
normalization,7,0.1,0.9,0.87
normalization,8,0.1,0.9,0.86
normalization,9,0.1,0.9,0.87
normalization,10,0.1,0.9,0.86
normalization,11,0.1,0.9,0.86
normalization,12,0.1,0.9,0.86
normalization,3,0.1,0.9,0.90
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.88
normalization,6,0.1,0.9,0.88
normalization,7,0.1,0.9,0.88
normalization,8,0.1,0.9,0.87
normalization,9,0.1,0.9,0.86
normalization,10,0.1,0.9,0.84
normalization,11,0.1,0.9,0.87
normalization,12,0.1,0.9,0.84
normalization,3,0.1,0.9,0.90
normalization,4,0.1,0.9,0.87
normalization,5,0.1,0.9,0.89
normalization,6,0.1,0.9,0.88
normalization,7,0.1,0.9,0.89
normalization,8,0.1,0.9,0.88
normalization,9,0.1,0.9,0.87
normalization,10,0.1,0.9,0.87
normalization,11,0.1,0.9,0.85
normalization,12,0.1,0.9,0.86
normalization,3,0.1,0.9,0.88
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.88
normalization,6,0.1,0.9,0.87
normalization,7,0.1,0.9,0.87
normalization,8,0.1,0.9,0.87
normalization,9,0.1,0.9,0.86
normalization,10,0.1,0.9,0.88
normalization,11,0.1,0.9,0.88
normalization,12,0.1,0.9,0.86
normalization,3,0.1,0.9,0.89
normalization,4,0.1,0.9,0.89
normalization,5,0.1,0.9,0.85
normalization,6,0.1,0.9,0.87
normalization,7,0.1,0.9,0.87
normalization,8,0.1,0.9,0.88
normalization,9,0.1,0.9,0.88
normalization,10,0.1,0.9,0.86
normalization,11,0.1,0.9,0.87
normalization,12,0.1,0.9,0.88
normalization,3,0.1,0.9,0.89
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.89
normalization,6,0.1,0.9,0.88
normalization,7,0.1,0.9,0.87
normalization,8,0.1,0.9,0.87
normalization,9,0.1,0.9,0.86
normalization,10,0.1,0.9,0.86
normalization,11,0.1,0.9,0.88
normalization,12,0.1,0.9,0.87
normalization,3,0.1,0.9,0.88
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.87
normalization,6,0.1,0.9,0.86
normalization,7,0.1,0.9,0.87
normalization,8,0.1,0.9,0.86
normalization,9,0.1,0.9,0.87
normalization,10,0.1,0.9,0.87
normalization,11,0.1,0.9,0.86
normalization,12,0.1,0.9,0.85
normalization,3,0.1,0.9,0.90
normalization,4,0.1,0.9,0.88
normalization,5,0.1,0.9,0.86
normalization,6,0.1,0.9,0.86
normalization,7,0.1,0.9,0.88
normalization,8,0.1,0.9,0.87
normalization,9,0.1,0.9,0.88
normalization,10,0.1,0.9,0.87
normalization,11,0.1,0.9,0.87
normalization,12,0.1,0.9,0.84
normalization,3,0.1,0.9,0.88
normalization,4,0.1,0.9,0.87
normalization,5,0.1,0.9,0.88
normalization,6,0.1,0.9,0.89
normalization,7,0.1,0.9,0.89
normalization,8,0.1,0.9,0.86
normalization,9,0.1,0.9,0.87
normalization,10,0.1,0.9,0.86
normalization,11,0.1,0.9,0.86
normalization,12,0.1,0.9,0.87
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.95
normalization_balanced,5,0.9,0.1,0.94
normalization_balanced,6,0.9,0.1,0.93
normalization_balanced,7,0.9,0.1,0.95
normalization_balanced,8,0.9,0.1,0.90
normalization_balanced,9,0.9,0.1,0.92
normalization_balanced,10,0.9,0.1,0.97
normalization_balanced,11,0.9,0.1,0.90
normalization_balanced,12,0.9,0.1,0.95
normalization_balanced,3,0.9,0.1,0.93
normalization_balanced,4,0.9,0.1,0.92
normalization_balanced,5,0.9,0.1,0.94
normalization_balanced,6,0.9,0.1,0.93
normalization_balanced,7,0.9,0.1,0.91
normalization_balanced,8,0.9,0.1,0.90
normalization_balanced,9,0.9,0.1,0.92
normalization_balanced,10,0.9,0.1,0.94
normalization_balanced,11,0.9,0.1,0.94
normalization_balanced,12,0.9,0.1,0.92
normalization_balanced,3,0.9,0.1,0.93
normalization_balanced,4,0.9,0.1,0.93
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.93
normalization_balanced,5,0.9,0.1,0.93
normalization_balanced,6,0.9,0.1,0.94
normalization_balanced,7,0.9,0.1,0.94
normalization_balanced,8,0.9,0.1,0.93
normalization_balanced,9,0.9,0.1,0.94
normalization_balanced,10,0.9,0.1,0.93
normalization_balanced,11,0.9,0.1,0.94
normalization_balanced,12,0.9,0.1,0.93
normalization_balanced,3,0.9,0.1,0.93
normalization_balanced,4,0.9,0.1,0.91
normalization_balanced,5,0.9,0.1,0.94
normalization_balanced,6,0.9,0.1,0.92
normalization_balanced,7,0.9,0.1,0.93
normalization_balanced,8,0.9,0.1,0.95
normalization_balanced,9,0.9,0.1,0.95
normalization_balanced,10,0.9,0.1,0.91
normalization_balanced,11,0.9,0.1,0.92
normalization_balanced,12,0.9,0.1,0.95
normalization_balanced,3,0.9,0.1,0.94
normalization_balanced,4,0.9,0.1,0.94
normalization_balanced,5,0.9,0.1,0.92
normalization_balanced,6,0.9,0.1,0.92
normalization_balanced,7,0.9,0.1,0.92
normalization_balanced,8,0.9,0.1,0.92
normalization_balanced,9,0.9,0.1,0.93
normalization_balanced,10,0.9,0.1,0.92
normalization_balanced,11,0.9,0.1,0.92
normalization_balanced,12,0.9,0.1,0.95
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.94
normalization_balanced,5,0.9,0.1,0.96
normalization_balanced,6,0.9,0.1,0.91
normalization_balanced,7,0.9,0.1,0.93
normalization_balanced,8,0.9,0.1,0.93
normalization_balanced,9,0.9,0.1,0.94
normalization_balanced,10,0.9,0.1,0.97
normalization_balanced,11,0.9,0.1,0.93
normalization_balanced,12,0.9,0.1,0.93
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.94
normalization_balanced,5,0.9,0.1,0.93
normalization_balanced,6,0.9,0.1,0.94
normalization_balanced,7,0.9,0.1,0.94
normalization_balanced,8,0.9,0.1,0.95
normalization_balanced,9,0.9,0.1,0.93
normalization_balanced,10,0.9,0.1,0.92
normalization_balanced,11,0.9,0.1,0.94
normalization_balanced,12,0.9,0.1,0.92
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.92
normalization_balanced,5,0.9,0.1,0.93
normalization_balanced,6,0.9,0.1,0.93
normalization_balanced,7,0.9,0.1,0.93
normalization_balanced,8,0.9,0.1,0.91
normalization_balanced,9,0.9,0.1,0.94
normalization_balanced,10,0.9,0.1,0.93
normalization_balanced,11,0.9,0.1,0.95
normalization_balanced,12,0.9,0.1,0.93
normalization_balanced,3,0.9,0.1,0.94
normalization_balanced,4,0.9,0.1,0.92
normalization_balanced,5,0.9,0.1,0.95
normalization_balanced,6,0.9,0.1,0.96
normalization_balanced,7,0.9,0.1,0.92
normalization_balanced,8,0.9,0.1,0.93
normalization_balanced,9,0.9,0.1,0.94
normalization_balanced,10,0.9,0.1,0.94
normalization_balanced,11,0.9,0.1,0.92
normalization_balanced,12,0.9,0.1,0.94
normalization_balanced,3,0.9,0.1,0.94
normalization_balanced,4,0.9,0.1,0.92
normalization_balanced,5,0.9,0.1,0.91
normalization_balanced,6,0.9,0.1,0.93
normalization_balanced,7,0.9,0.1,0.95
normalization_balanced,8,0.9,0.1,0.92
normalization_balanced,9,0.9,0.1,0.97
normalization_balanced,10,0.9,0.1,0.94
normalization_balanced,11,0.9,0.1,0.95
normalization_balanced,12,0.9,0.1,0.92
normalization_balanced,3,0.9,0.1,0.94
normalization_balanced,4,0.9,0.1,0.93
normalization_balanced,5,0.9,0.1,0.92
normalization_balanced,6,0.9,0.1,0.92
normalization_balanced,7,0.9,0.1,0.94
normalization_balanced,8,0.9,0.1,0.94
normalization_balanced,9,0.9,0.1,0.92
normalization_balanced,10,0.9,0.1,0.93
normalization_balanced,11,0.9,0.1,0.95
normalization_balanced,12,0.9,0.1,0.90
normalization_balanced,3,0.9,0.1,0.92
normalization_balanced,4,0.9,0.1,0.95
normalization_balanced,5,0.9,0.1,0.94
normalization_balanced,6,0.9,0.1,0.94
normalization_balanced,7,0.9,0.1,0.92
normalization_balanced,8,0.9,0.1,0.95
normalization_balanced,9,0.9,0.1,0.94
normalization_balanced,10,0.9,0.1,0.93
normalization_balanced,11,0.9,0.1,0.95
normalization_balanced,12,0.9,0.1,0.92
normalization_balanced,3,0.2,0.8,0.93
normalization_balanced,4,0.2,0.8,0.92
normalization_balanced,5,0.2,0.8,0.93
normalization_balanced,6,0.2,0.8,0.92
normalization_balanced,7,0.2,0.8,0.91
normalization_balanced,8,0.2,0.8,0.93
normalization_balanced,9,0.2,0.8,0.93
normalization_balanced,10,0.2,0.8,0.91
normalization_balanced,11,0.2,0.8,0.91
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.2,0.8,0.91
normalization_balanced,4,0.2,0.8,0.92
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.92
normalization_balanced,7,0.2,0.8,0.93
normalization_balanced,8,0.2,0.8,0.93
normalization_balanced,9,0.2,0.8,0.91
normalization_balanced,10,0.2,0.8,0.91
normalization_balanced,11,0.2,0.8,0.92
normalization_balanced,12,0.2,0.8,0.91
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.91
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.92
normalization_balanced,7,0.2,0.8,0.93
normalization_balanced,8,0.2,0.8,0.93
normalization_balanced,9,0.2,0.8,0.93
normalization_balanced,10,0.2,0.8,0.93
normalization_balanced,11,0.2,0.8,0.91
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.91
normalization_balanced,5,0.2,0.8,0.93
normalization_balanced,6,0.2,0.8,0.90
normalization_balanced,7,0.2,0.8,0.93
normalization_balanced,8,0.2,0.8,0.92
normalization_balanced,9,0.2,0.8,0.92
normalization_balanced,10,0.2,0.8,0.92
normalization_balanced,11,0.2,0.8,0.92
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.92
normalization_balanced,5,0.2,0.8,0.94
normalization_balanced,6,0.2,0.8,0.93
normalization_balanced,7,0.2,0.8,0.92
normalization_balanced,8,0.2,0.8,0.91
normalization_balanced,9,0.2,0.8,0.92
normalization_balanced,10,0.2,0.8,0.92
normalization_balanced,11,0.2,0.8,0.93
normalization_balanced,12,0.2,0.8,0.93
normalization_balanced,3,0.2,0.8,0.93
normalization_balanced,4,0.2,0.8,0.91
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.91
normalization_balanced,7,0.2,0.8,0.92
normalization_balanced,8,0.2,0.8,0.92
normalization_balanced,9,0.2,0.8,0.93
normalization_balanced,10,0.2,0.8,0.91
normalization_balanced,11,0.2,0.8,0.91
normalization_balanced,12,0.2,0.8,0.91
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.92
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.92
normalization_balanced,7,0.2,0.8,0.93
normalization_balanced,8,0.2,0.8,0.92
normalization_balanced,9,0.2,0.8,0.91
normalization_balanced,10,0.2,0.8,0.93
normalization_balanced,11,0.2,0.8,0.92
normalization_balanced,12,0.2,0.8,0.91
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.93
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.93
normalization_balanced,7,0.2,0.8,0.92
normalization_balanced,8,0.2,0.8,0.92
normalization_balanced,9,0.2,0.8,0.92
normalization_balanced,10,0.2,0.8,0.92
normalization_balanced,11,0.2,0.8,0.92
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.91
normalization_balanced,5,0.2,0.8,0.92
normalization_balanced,6,0.2,0.8,0.93
normalization_balanced,7,0.2,0.8,0.92
normalization_balanced,8,0.2,0.8,0.92
normalization_balanced,9,0.2,0.8,0.92
normalization_balanced,10,0.2,0.8,0.92
normalization_balanced,11,0.2,0.8,0.93
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.2,0.8,0.92
normalization_balanced,4,0.2,0.8,0.93
normalization_balanced,5,0.2,0.8,0.93
normalization_balanced,6,0.2,0.8,0.92
normalization_balanced,7,0.2,0.8,0.92
normalization_balanced,8,0.2,0.8,0.91
normalization_balanced,9,0.2,0.8,0.92
normalization_balanced,10,0.2,0.8,0.91
normalization_balanced,11,0.2,0.8,0.92
normalization_balanced,12,0.2,0.8,0.92
normalization_balanced,3,0.3,0.7,0.94
normalization_balanced,4,0.3,0.7,0.92
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.92
normalization_balanced,8,0.3,0.7,0.92
normalization_balanced,9,0.3,0.7,0.93
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.92
normalization_balanced,12,0.3,0.7,0.91
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.93
normalization_balanced,5,0.3,0.7,0.92
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.93
normalization_balanced,8,0.3,0.7,0.92
normalization_balanced,9,0.3,0.7,0.94
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.91
normalization_balanced,12,0.3,0.7,0.91
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.92
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.93
normalization_balanced,7,0.3,0.7,0.91
normalization_balanced,8,0.3,0.7,0.92
normalization_balanced,9,0.3,0.7,0.94
normalization_balanced,10,0.3,0.7,0.93
normalization_balanced,11,0.3,0.7,0.94
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.93
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.92
normalization_balanced,8,0.3,0.7,0.92
normalization_balanced,9,0.3,0.7,0.91
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.93
normalization_balanced,12,0.3,0.7,0.91
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.93
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.93
normalization_balanced,7,0.3,0.7,0.93
normalization_balanced,8,0.3,0.7,0.92
normalization_balanced,9,0.3,0.7,0.93
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.93
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.3,0.7,0.92
normalization_balanced,4,0.3,0.7,0.93
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.93
normalization_balanced,7,0.3,0.7,0.92
normalization_balanced,8,0.3,0.7,0.93
normalization_balanced,9,0.3,0.7,0.93
normalization_balanced,10,0.3,0.7,0.93
normalization_balanced,11,0.3,0.7,0.93
normalization_balanced,12,0.3,0.7,0.93
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.91
normalization_balanced,5,0.3,0.7,0.92
normalization_balanced,6,0.3,0.7,0.93
normalization_balanced,7,0.3,0.7,0.91
normalization_balanced,8,0.3,0.7,0.91
normalization_balanced,9,0.3,0.7,0.92
normalization_balanced,10,0.3,0.7,0.93
normalization_balanced,11,0.3,0.7,0.92
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.3,0.7,0.92
normalization_balanced,4,0.3,0.7,0.92
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.93
normalization_balanced,8,0.3,0.7,0.93
normalization_balanced,9,0.3,0.7,0.93
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.93
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.3,0.7,0.94
normalization_balanced,4,0.3,0.7,0.92
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.93
normalization_balanced,8,0.3,0.7,0.93
normalization_balanced,9,0.3,0.7,0.92
normalization_balanced,10,0.3,0.7,0.92
normalization_balanced,11,0.3,0.7,0.92
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.3,0.7,0.93
normalization_balanced,4,0.3,0.7,0.93
normalization_balanced,5,0.3,0.7,0.93
normalization_balanced,6,0.3,0.7,0.92
normalization_balanced,7,0.3,0.7,0.92
normalization_balanced,8,0.3,0.7,0.91
normalization_balanced,9,0.3,0.7,0.93
normalization_balanced,10,0.3,0.7,0.91
normalization_balanced,11,0.3,0.7,0.92
normalization_balanced,12,0.3,0.7,0.92
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.92
normalization_balanced,5,0.4,0.6,0.92
normalization_balanced,6,0.4,0.6,0.93
normalization_balanced,7,0.4,0.6,0.94
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.93
normalization_balanced,11,0.4,0.6,0.93
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.93
normalization_balanced,5,0.4,0.6,0.92
normalization_balanced,6,0.4,0.6,0.93
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.92
normalization_balanced,10,0.4,0.6,0.91
normalization_balanced,11,0.4,0.6,0.92
normalization_balanced,12,0.4,0.6,0.92
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.92
normalization_balanced,5,0.4,0.6,0.93
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.92
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.93
normalization_balanced,11,0.4,0.6,0.93
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.93
normalization_balanced,5,0.4,0.6,0.92
normalization_balanced,6,0.4,0.6,0.93
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.92
normalization_balanced,11,0.4,0.6,0.93
normalization_balanced,12,0.4,0.6,0.92
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.93
normalization_balanced,5,0.4,0.6,0.92
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.92
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.92
normalization_balanced,11,0.4,0.6,0.92
normalization_balanced,12,0.4,0.6,0.92
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.94
normalization_balanced,5,0.4,0.6,0.93
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.94
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.92
normalization_balanced,11,0.4,0.6,0.92
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.93
normalization_balanced,5,0.4,0.6,0.93
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.92
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.91
normalization_balanced,11,0.4,0.6,0.91
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.92
normalization_balanced,4,0.4,0.6,0.93
normalization_balanced,5,0.4,0.6,0.93
normalization_balanced,6,0.4,0.6,0.93
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.93
normalization_balanced,10,0.4,0.6,0.93
normalization_balanced,11,0.4,0.6,0.93
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.92
normalization_balanced,5,0.4,0.6,0.93
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.92
normalization_balanced,9,0.4,0.6,0.92
normalization_balanced,10,0.4,0.6,0.93
normalization_balanced,11,0.4,0.6,0.92
normalization_balanced,12,0.4,0.6,0.93
normalization_balanced,3,0.4,0.6,0.93
normalization_balanced,4,0.4,0.6,0.92
normalization_balanced,5,0.4,0.6,0.92
normalization_balanced,6,0.4,0.6,0.92
normalization_balanced,7,0.4,0.6,0.93
normalization_balanced,8,0.4,0.6,0.93
normalization_balanced,9,0.4,0.6,0.92
normalization_balanced,10,0.4,0.6,0.93
normalization_balanced,11,0.4,0.6,0.93
normalization_balanced,12,0.4,0.6,0.91
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.93
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.94
normalization_balanced,11,0.5,0.5,0.93
normalization_balanced,12,0.5,0.5,0.94
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.94
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.94
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.93
normalization_balanced,11,0.5,0.5,0.94
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.94
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.93
normalization_balanced,11,0.5,0.5,0.94
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.94
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.94
normalization_balanced,9,0.5,0.5,0.95
normalization_balanced,10,0.5,0.5,0.94
normalization_balanced,11,0.5,0.5,0.94
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.95
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.93
normalization_balanced,10,0.5,0.5,0.93
normalization_balanced,11,0.5,0.5,0.94
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.94
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.95
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.94
normalization_balanced,11,0.5,0.5,0.93
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.95
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.94
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.95
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.95
normalization_balanced,10,0.5,0.5,0.95
normalization_balanced,11,0.5,0.5,0.93
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.93
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.93
normalization_balanced,11,0.5,0.5,0.93
normalization_balanced,12,0.5,0.5,0.94
normalization_balanced,3,0.5,0.5,0.96
normalization_balanced,4,0.5,0.5,0.94
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.95
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.93
normalization_balanced,11,0.5,0.5,0.93
normalization_balanced,12,0.5,0.5,0.93
normalization_balanced,3,0.5,0.5,0.95
normalization_balanced,4,0.5,0.5,0.95
normalization_balanced,5,0.5,0.5,0.95
normalization_balanced,6,0.5,0.5,0.94
normalization_balanced,7,0.5,0.5,0.94
normalization_balanced,8,0.5,0.5,0.93
normalization_balanced,9,0.5,0.5,0.94
normalization_balanced,10,0.5,0.5,0.94
normalization_balanced,11,0.5,0.5,0.94
normalization_balanced,12,0.5,0.5,0.94
normalization_balanced,3,0.6,0.4,0.93
normalization_balanced,4,0.6,0.4,0.92
normalization_balanced,5,0.6,0.4,0.93
normalization_balanced,6,0.6,0.4,0.92
normalization_balanced,7,0.6,0.4,0.94
normalization_balanced,8,0.6,0.4,0.93
normalization_balanced,9,0.6,0.4,0.93
normalization_balanced,10,0.6,0.4,0.93
normalization_balanced,11,0.6,0.4,0.92
normalization_balanced,12,0.6,0.4,0.92
normalization_balanced,3,0.6,0.4,0.93
normalization_balanced,4,0.6,0.4,0.93
normalization_balanced,5,0.6,0.4,0.94
normalization_balanced,6,0.6,0.4,0.92
normalization_balanced,7,0.6,0.4,0.94
normalization_balanced,8,0.6,0.4,0.92
normalization_balanced,9,0.6,0.4,0.93
normalization_balanced,10,0.6,0.4,0.93
normalization_balanced,11,0.6,0.4,0.93
normalization_balanced,12,0.6,0.4,0.93
normalization_balanced,3,0.6,0.4,0.93
normalization_balanced,4,0.6,0.4,0.93
normalization_balanced,5,0.6,0.4,0.93
