K,trainingSize,testingSize,accuracy
7,0.3,0.7,0.86
8,0.3,0.7,0.88
9,0.3,0.7,0.84
10,0.3,0.7,0.85
11,0.3,0.7,0.86
12,0.3,0.7,0.87
3,0.3,0.7,0.88
4,0.3,0.7,0.88
5,0.3,0.7,0.84
6,0.3,0.7,0.86
7,0.3,0.7,0.85
8,0.3,0.7,0.84
9,0.3,0.7,0.87
10,0.3,0.7,0.84
11,0.3,0.7,0.85
12,0.3,0.7,0.84
3,0.3,0.7,0.89
4,0.3,0.7,0.82
5,0.3,0.7,0.87
6,0.3,0.7,0.86
7,0.3,0.7,0.86
8,0.3,0.7,0.86
9,0.3,0.7,0.83
10,0.3,0.7,0.82
11,0.3,0.7,0.88
12,0.3,0.7,0.87
3,0.3,0.7,0.87
4,0.3,0.7,0.84
5,0.3,0.7,0.86
6,0.3,0.7,0.87
7,0.3,0.7,0.85
8,0.3,0.7,0.84
9,0.3,0.7,0.85
10,0.3,0.7,0.84
11,0.3,0.7,0.83
12,0.3,0.7,0.84
3,0.3,0.7,0.88
4,0.3,0.7,0.83
5,0.3,0.7,0.87
6,0.3,0.7,0.85
7,0.3,0.7,0.86
8,0.3,0.7,0.84
9,0.3,0.7,0.84
10,0.3,0.7,0.88
11,0.3,0.7,0.86
12,0.3,0.7,0.86
3,0.3,0.7,0.87
4,0.3,0.7,0.86
5,0.3,0.7,0.88
6,0.3,0.7,0.82
7,0.3,0.7,0.86
8,0.3,0.7,0.84
9,0.3,0.7,0.86
10,0.3,0.7,0.86
11,0.3,0.7,0.85
12,0.3,0.7,0.84
3,0.3,0.7,0.88
4,0.3,0.7,0.84
5,0.3,0.7,0.87
6,0.3,0.7,0.86
7,0.3,0.7,0.87
8,0.3,0.7,0.85
9,0.3,0.7,0.88
10,0.3,0.7,0.87
11,0.3,0.7,0.87
12,0.3,0.7,0.86
3,0.3,0.7,0.86
4,0.3,0.7,0.86
5,0.3,0.7,0.87
6,0.3,0.7,0.86
7,0.3,0.7,0.86
8,0.3,0.7,0.85
9,0.3,0.7,0.85
10,0.3,0.7,0.84
11,0.3,0.7,0.87
12,0.3,0.7,0.83
3,0.3,0.7,0.86
4,0.3,0.7,0.84
5,0.3,0.7,0.85
6,0.3,0.7,0.84
7,0.3,0.7,0.86
8,0.3,0.7,0.86
9,0.3,0.7,0.88
10,0.3,0.7,0.83
11,0.3,0.7,0.84
12,0.3,0.7,0.81
3,0.4,0.6,0.87
4,0.4,0.6,0.87
5,0.4,0.6,0.86
6,0.4,0.6,0.88
7,0.4,0.6,0.88
8,0.4,0.6,0.83
9,0.4,0.6,0.86
10,0.4,0.6,0.85
11,0.4,0.6,0.88
12,0.4,0.6,0.82
3,0.4,0.6,0.88
4,0.4,0.6,0.89
5,0.4,0.6,0.89
6,0.4,0.6,0.88
7,0.4,0.6,0.87
8,0.4,0.6,0.88
9,0.4,0.6,0.87
10,0.4,0.6,0.85
11,0.4,0.6,0.85
12,0.4,0.6,0.82
3,0.4,0.6,0.88
4,0.4,0.6,0.87
5,0.4,0.6,0.88
6,0.4,0.6,0.86
7,0.4,0.6,0.87
8,0.4,0.6,0.86
9,0.4,0.6,0.85
10,0.4,0.6,0.85
11,0.4,0.6,0.86
12,0.4,0.6,0.85
3,0.4,0.6,0.87
4,0.4,0.6,0.87
5,0.4,0.6,0.87
6,0.4,0.6,0.86
7,0.4,0.6,0.87
8,0.4,0.6,0.85
9,0.4,0.6,0.86
10,0.4,0.6,0.87
11,0.4,0.6,0.83
12,0.4,0.6,0.83
3,0.4,0.6,0.89
4,0.4,0.6,0.87
5,0.4,0.6,0.89
6,0.4,0.6,0.88
7,0.4,0.6,0.85
8,0.4,0.6,0.85
9,0.4,0.6,0.84
10,0.4,0.6,0.87
11,0.4,0.6,0.88
12,0.4,0.6,0.86
3,0.4,0.6,0.88
4,0.4,0.6,0.89
5,0.4,0.6,0.86
6,0.4,0.6,0.86
7,0.4,0.6,0.87
8,0.4,0.6,0.83
9,0.4,0.6,0.88
10,0.4,0.6,0.86
11,0.4,0.6,0.84
12,0.4,0.6,0.87
3,0.4,0.6,0.89
4,0.4,0.6,0.85
5,0.4,0.6,0.88
6,0.4,0.6,0.81
7,0.4,0.6,0.86
8,0.4,0.6,0.87
9,0.4,0.6,0.87
10,0.4,0.6,0.89
11,0.4,0.6,0.84
12,0.4,0.6,0.84
3,0.4,0.6,0.87
4,0.4,0.6,0.85
5,0.4,0.6,0.88
6,0.4,0.6,0.88
7,0.4,0.6,0.86
8,0.4,0.6,0.87
9,0.4,0.6,0.89
10,0.4,0.6,0.84
11,0.4,0.6,0.87
12,0.4,0.6,0.89
3,0.4,0.6,0.89
4,0.4,0.6,0.87
5,0.4,0.6,0.90
6,0.4,0.6,0.89
7,0.4,0.6,0.87
8,0.4,0.6,0.86
9,0.4,0.6,0.87
10,0.4,0.6,0.82
11,0.4,0.6,0.87
12,0.4,0.6,0.86
3,0.4,0.6,0.85
4,0.4,0.6,0.84
5,0.4,0.6,0.89
6,0.4,0.6,0.86
7,0.4,0.6,0.88
8,0.4,0.6,0.86
9,0.4,0.6,0.86
10,0.4,0.6,0.82
11,0.4,0.6,0.84
12,0.4,0.6,0.86
3,0.5,0.5,0.92
4,0.5,0.5,0.92
5,0.5,0.5,0.91
6,0.5,0.5,0.93
7,0.5,0.5,0.89
8,0.5,0.5,0.89
9,0.5,0.5,0.89
10,0.5,0.5,0.91
11,0.5,0.5,0.89
12,0.5,0.5,0.88
3,0.5,0.5,0.93
4,0.5,0.5,0.90
5,0.5,0.5,0.90
6,0.5,0.5,0.90
7,0.5,0.5,0.92
8,0.5,0.5,0.90
9,0.5,0.5,0.89
10,0.5,0.5,0.87
11,0.5,0.5,0.88
12,0.5,0.5,0.87
3,0.5,0.5,0.92
4,0.5,0.5,0.90
5,0.5,0.5,0.91
6,0.5,0.5,0.91
7,0.5,0.5,0.92
8,0.5,0.5,0.88
9,0.5,0.5,0.90
10,0.5,0.5,0.90
11,0.5,0.5,0.90
12,0.5,0.5,0.87
3,0.5,0.5,0.93
4,0.5,0.5,0.92
5,0.5,0.5,0.92
6,0.5,0.5,0.91
7,0.5,0.5,0.89
8,0.5,0.5,0.89
9,0.5,0.5,0.90
10,0.5,0.5,0.89
11,0.5,0.5,0.89
12,0.5,0.5,0.87
3,0.5,0.5,0.94
4,0.5,0.5,0.90
5,0.5,0.5,0.93
6,0.5,0.5,0.91
7,0.5,0.5,0.90
8,0.5,0.5,0.89
9,0.5,0.5,0.90
10,0.5,0.5,0.89
11,0.5,0.5,0.91
12,0.5,0.5,0.86
3,0.5,0.5,0.91
4,0.5,0.5,0.93
5,0.5,0.5,0.91
6,0.5,0.5,0.91
7,0.5,0.5,0.91
8,0.5,0.5,0.89
9,0.5,0.5,0.90
10,0.5,0.5,0.87
11,0.5,0.5,0.87
12,0.5,0.5,0.87
3,0.5,0.5,0.94
4,0.5,0.5,0.92
5,0.5,0.5,0.92
6,0.5,0.5,0.90
7,0.5,0.5,0.90
8,0.5,0.5,0.89
9,0.5,0.5,0.88
10,0.5,0.5,0.91
11,0.5,0.5,0.90
12,0.5,0.5,0.86
3,0.5,0.5,0.95
4,0.5,0.5,0.92
5,0.5,0.5,0.92
6,0.5,0.5,0.89
7,0.5,0.5,0.89
8,0.5,0.5,0.90
9,0.5,0.5,0.89
10,0.5,0.5,0.89
11,0.5,0.5,0.89
12,0.5,0.5,0.87
3,0.5,0.5,0.94
4,0.5,0.5,0.91
5,0.5,0.5,0.90
6,0.5,0.5,0.91
7,0.5,0.5,0.91
8,0.5,0.5,0.90
9,0.5,0.5,0.90
10,0.5,0.5,0.88
11,0.5,0.5,0.90
12,0.5,0.5,0.88
3,0.5,0.5,0.93
4,0.5,0.5,0.91
5,0.5,0.5,0.91
6,0.5,0.5,0.89
7,0.5,0.5,0.89
8,0.5,0.5,0.90
9,0.5,0.5,0.88
10,0.5,0.5,0.88
11,0.5,0.5,0.90
12,0.5,0.5,0.89
3,0.6,0.4,0.89
4,0.6,0.4,0.89
5,0.6,0.4,0.87
6,0.6,0.4,0.90
7,0.6,0.4,0.89
8,0.6,0.4,0.87
9,0.6,0.4,0.87
10,0.6,0.4,0.87
11,0.6,0.4,0.85
12,0.6,0.4,0.84
3,0.6,0.4,0.90
4,0.6,0.4,0.87
5,0.6,0.4,0.89
6,0.6,0.4,0.86
7,0.6,0.4,0.91
8,0.6,0.4,0.87
9,0.6,0.4,0.87
10,0.6,0.4,0.86
11,0.6,0.4,0.88
12,0.6,0.4,0.89
3,0.6,0.4,0.88
4,0.6,0.4,0.85
5,0.6,0.4,0.87
6,0.6,0.4,0.85
7,0.6,0.4,0.88
8,0.6,0.4,0.83
9,0.6,0.4,0.88
10,0.6,0.4,0.90
11,0.6,0.4,0.86
12,0.6,0.4,0.88
3,0.6,0.4,0.90
4,0.6,0.4,0.88
5,0.6,0.4,0.90
6,0.6,0.4,0.88
7,0.6,0.4,0.86
8,0.6,0.4,0.84
9,0.6,0.4,0.86
10,0.6,0.4,0.86
11,0.6,0.4,0.87
12,0.6,0.4,0.88
3,0.6,0.4,0.90
4,0.6,0.4,0.88
5,0.6,0.4,0.90
6,0.6,0.4,0.88
7,0.6,0.4,0.86
8,0.6,0.4,0.88
9,0.6,0.4,0.86
10,0.6,0.4,0.88
11,0.6,0.4,0.88
12,0.6,0.4,0.88
3,0.6,0.4,0.90
4,0.6,0.4,0.87
5,0.6,0.4,0.86
6,0.6,0.4,0.85
7,0.6,0.4,0.89
8,0.6,0.4,0.87
9,0.6,0.4,0.90
10,0.6,0.4,0.87
11,0.6,0.4,0.88
12,0.6,0.4,0.88
3,0.6,0.4,0.90
4,0.6,0.4,0.87
5,0.6,0.4,0.90
6,0.6,0.4,0.86
7,0.6,0.4,0.89
8,0.6,0.4,0.90
9,0.6,0.4,0.90
10,0.6,0.4,0.85
11,0.6,0.4,0.90
12,0.6,0.4,0.86
3,0.6,0.4,0.91
4,0.6,0.4,0.88
5,0.6,0.4,0.88
6,0.6,0.4,0.87
7,0.6,0.4,0.89
8,0.6,0.4,0.85
9,0.6,0.4,0.88
10,0.6,0.4,0.88
11,0.6,0.4,0.84
12,0.6,0.4,0.88
3,0.6,0.4,0.91
4,0.6,0.4,0.89
5,0.6,0.4,0.88
6,0.6,0.4,0.86
7,0.6,0.4,0.85
8,0.6,0.4,0.87
9,0.6,0.4,0.88
10,0.6,0.4,0.85
11,0.6,0.4,0.88
12,0.6,0.4,0.86
3,0.6,0.4,0.87
4,0.6,0.4,0.86
5,0.6,0.4,0.89
6,0.6,0.4,0.87
7,0.6,0.4,0.90
8,0.6,0.4,0.87
9,0.6,0.4,0.89
10,0.6,0.4,0.88
11,0.6,0.4,0.86
12,0.6,0.4,0.89
3,0.7,0.3,0.89
4,0.7,0.3,0.89
5,0.7,0.3,0.89
6,0.7,0.3,0.88
7,0.7,0.3,0.89
8,0.7,0.3,0.86
9,0.7,0.3,0.85
10,0.7,0.3,0.90
11,0.7,0.3,0.90
12,0.7,0.3,0.84
3,0.7,0.3,0.89
4,0.7,0.3,0.91
5,0.7,0.3,0.90
6,0.7,0.3,0.89
7,0.7,0.3,0.90
8,0.7,0.3,0.87
9,0.7,0.3,0.88
10,0.7,0.3,0.87
11,0.7,0.3,0.90
12,0.7,0.3,0.88
3,0.7,0.3,0.89
4,0.7,0.3,0.88
5,0.7,0.3,0.87
6,0.7,0.3,0.88
7,0.7,0.3,0.90
8,0.7,0.3,0.88
9,0.7,0.3,0.86
10,0.7,0.3,0.90
11,0.7,0.3,0.91
12,0.7,0.3,0.85
3,0.7,0.3,0.88
4,0.7,0.3,0.91
5,0.7,0.3,0.87
6,0.7,0.3,0.89
7,0.7,0.3,0.88
8,0.7,0.3,0.89
9,0.7,0.3,0.88
10,0.7,0.3,0.88
11,0.7,0.3,0.89
12,0.7,0.3,0.88
3,0.7,0.3,0.90
4,0.7,0.3,0.88
5,0.7,0.3,0.90
6,0.7,0.3,0.83
7,0.7,0.3,0.92
8,0.7,0.3,0.88
9,0.7,0.3,0.89
10,0.7,0.3,0.93
11,0.7,0.3,0.89
12,0.7,0.3,0.90
3,0.7,0.3,0.85
4,0.7,0.3,0.88
5,0.7,0.3,0.92
6,0.7,0.3,0.87
7,0.7,0.3,0.88
8,0.7,0.3,0.88
9,0.7,0.3,0.88
10,0.7,0.3,0.84
11,0.7,0.3,0.86
12,0.7,0.3,0.85
3,0.7,0.3,0.90
4,0.7,0.3,0.90
5,0.7,0.3,0.90
6,0.7,0.3,0.85
7,0.7,0.3,0.89
8,0.7,0.3,0.89
9,0.7,0.3,0.90
10,0.7,0.3,0.90
11,0.7,0.3,0.87
12,0.7,0.3,0.87
3,0.7,0.3,0.90
4,0.7,0.3,0.88
5,0.7,0.3,0.89
6,0.7,0.3,0.86
7,0.7,0.3,0.91
8,0.7,0.3,0.88
9,0.7,0.3,0.88
10,0.7,0.3,0.83
11,0.7,0.3,0.87
12,0.7,0.3,0.88
3,0.7,0.3,0.89
4,0.7,0.3,0.89
5,0.7,0.3,0.85
6,0.7,0.3,0.88
7,0.7,0.3,0.88
8,0.7,0.3,0.85
9,0.7,0.3,0.87
10,0.7,0.3,0.87
11,0.7,0.3,0.84
12,0.7,0.3,0.87
3,0.7,0.3,0.91
4,0.7,0.3,0.88
5,0.7,0.3,0.89
6,0.7,0.3,0.85
7,0.7,0.3,0.88
8,0.7,0.3,0.86
9,0.7,0.3,0.88
10,0.7,0.3,0.85
11,0.7,0.3,0.87
12,0.7,0.3,0.88
3,0.8,0.2,0.88
4,0.8,0.2,0.90
5,0.8,0.2,0.88
6,0.8,0.2,0.86
7,0.8,0.2,0.86
8,0.8,0.2,0.89
9,0.8,0.2,0.91
10,0.8,0.2,0.85
11,0.8,0.2,0.88
12,0.8,0.2,0.89
3,0.8,0.2,0.93
4,0.8,0.2,0.90
5,0.8,0.2,0.91
6,0.8,0.2,0.87
7,0.8,0.2,0.88
8,0.8,0.2,0.86
9,0.8,0.2,0.91
10,0.8,0.2,0.86
11,0.8,0.2,0.88
12,0.8,0.2,0.88
3,0.8,0.2,0.91
4,0.8,0.2,0.89
5,0.8,0.2,0.85
6,0.8,0.2,0.86
7,0.8,0.2,0.89
8,0.8,0.2,0.85
9,0.8,0.2,0.87
10,0.8,0.2,0.83
11,0.8,0.2,0.87
12,0.8,0.2,0.90
3,0.8,0.2,0.85
4,0.8,0.2,0.89
5,0.8,0.2,0.90
6,0.8,0.2,0.91
7,0.8,0.2,0.89
8,0.8,0.2,0.89
9,0.8,0.2,0.85
10,0.8,0.2,0.86
11,0.8,0.2,0.90
12,0.8,0.2,0.88
3,0.8,0.2,0.89
4,0.8,0.2,0.85
5,0.8,0.2,0.90
6,0.8,0.2,0.84
7,0.8,0.2,0.91
8,0.8,0.2,0.89
9,0.8,0.2,0.91
10,0.8,0.2,0.88
11,0.8,0.2,0.86
12,0.8,0.2,0.91
3,0.8,0.2,0.89
4,0.8,0.2,0.89
5,0.8,0.2,0.84
6,0.8,0.2,0.88
7,0.8,0.2,0.90
8,0.8,0.2,0.84
9,0.8,0.2,0.89
10,0.8,0.2,0.90
11,0.8,0.2,0.89
12,0.8,0.2,0.84
3,0.8,0.2,0.88
4,0.8,0.2,0.86
5,0.8,0.2,0.88
6,0.8,0.2,0.89
7,0.8,0.2,0.89
8,0.8,0.2,0.89
9,0.8,0.2,0.91
10,0.8,0.2,0.81
11,0.8,0.2,0.89
12,0.8,0.2,0.84
3,0.8,0.2,0.88
4,0.8,0.2,0.91
5,0.8,0.2,0.90
6,0.8,0.2,0.88
7,0.8,0.2,0.90
8,0.8,0.2,0.88
9,0.8,0.2,0.87
10,0.8,0.2,0.89
11,0.8,0.2,0.90
12,0.8,0.2,0.88
3,0.8,0.2,0.91
4,0.8,0.2,0.87
5,0.8,0.2,0.86
6,0.8,0.2,0.86
7,0.8,0.2,0.88
8,0.8,0.2,0.86
9,0.8,0.2,0.91
10,0.8,0.2,0.87
11,0.8,0.2,0.86
12,0.8,0.2,0.91
3,0.8,0.2,0.89
4,0.8,0.2,0.85
5,0.8,0.2,0.89
6,0.8,0.2,0.86
7,0.8,0.2,0.89
8,0.8,0.2,0.89
9,0.8,0.2,0.86
10,0.8,0.2,0.85
11,0.8,0.2,0.93
12,0.8,0.2,0.88
3,0.1,0.9,0.77
4,0.1,0.9,0.82
5,0.1,0.9,0.84
6,0.1,0.9,0.78
7,0.1,0.9,0.75
8,0.1,0.9,0.74
9,0.1,0.9,0.81
10,0.1,0.9,0.80
11,0.1,0.9,0.81
12,0.1,0.9,0.83
3,0.1,0.9,0.82
4,0.1,0.9,0.81
5,0.1,0.9,0.78
6,0.1,0.9,0.80
7,0.1,0.9,0.74
8,0.1,0.9,0.83
9,0.1,0.9,0.80
10,0.1,0.9,0.77
11,0.1,0.9,0.83
12,0.1,0.9,0.79
3,0.1,0.9,0.87
4,0.1,0.9,0.79
5,0.1,0.9,0.77
6,0.1,0.9,0.79
7,0.1,0.9,0.77
8,0.1,0.9,0.76
9,0.1,0.9,0.78
10,0.1,0.9,0.73
11,0.1,0.9,0.79
12,0.1,0.9,0.78
3,0.1,0.9,0.83
4,0.1,0.9,0.84
5,0.1,0.9,0.86
6,0.1,0.9,0.77
7,0.1,0.9,0.79
8,0.1,0.9,0.79
9,0.1,0.9,0.82
10,0.1,0.9,0.77
11,0.1,0.9,0.82
12,0.1,0.9,0.74
3,0.1,0.9,0.83
4,0.1,0.9,0.75
5,0.1,0.9,0.78
6,0.1,0.9,0.81
7,0.1,0.9,0.82
8,0.1,0.9,0.77
9,0.1,0.9,0.80
10,0.1,0.9,0.82
11,0.1,0.9,0.77
12,0.1,0.9,0.83
3,0.1,0.9,0.84
4,0.1,0.9,0.85
5,0.1,0.9,0.81
6,0.1,0.9,0.80
7,0.1,0.9,0.80
8,0.1,0.9,0.83
9,0.1,0.9,0.77
10,0.1,0.9,0.77
11,0.1,0.9,0.78
12,0.1,0.9,0.81
3,0.1,0.9,0.83
4,0.1,0.9,0.78
5,0.1,0.9,0.83
6,0.1,0.9,0.80
7,0.1,0.9,0.83
8,0.1,0.9,0.83
9,0.1,0.9,0.83
10,0.1,0.9,0.78
11,0.1,0.9,0.72
12,0.1,0.9,0.79
3,0.1,0.9,0.82
4,0.1,0.9,0.82
5,0.1,0.9,0.84
6,0.1,0.9,0.77
7,0.1,0.9,0.83
8,0.1,0.9,0.78
9,0.1,0.9,0.77
10,0.1,0.9,0.80
11,0.1,0.9,0.80
12,0.1,0.9,0.77
3,0.1,0.9,0.81
4,0.1,0.9,0.78
5,0.1,0.9,0.81
6,0.1,0.9,0.80
7,0.1,0.9,0.84
8,0.1,0.9,0.73
9,0.1,0.9,0.80
10,0.1,0.9,0.72
11,0.1,0.9,0.83
12,0.1,0.9,0.80
3,0.1,0.9,0.85
4,0.1,0.9,0.78
5,0.1,0.9,0.79
6,0.1,0.9,0.83
7,0.1,0.9,0.85
8,0.1,0.9,0.76
9,0.1,0.9,0.80
10,0.1,0.9,0.82
11,0.1,0.9,0.83
12,0.1,0.9,0.80
